"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: applicationSize","Param: baseStructureSize","Param: datastructureName","Param: seed"
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,200.904949,65.981455,"ops/s",10,10000,Vector,0
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,5815.668367,69.307365,"ops/s",10,10000,Vector,1
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,677468.068057,24027.603337,"ops/s",10,10000,Vector,2
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,3989797.608439,167138.005351,"ops/s",10,10000,Vector,3
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,728.187344,147.287868,"ops/s",10,10000,Vector,4
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,6953.092432,1814.023904,"ops/s",10,10000,Vector,5
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,1036.887861,345.948824,"ops/s",10,10000,Vector,6
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,6922315.705272,919799.844115,"ops/s",10,10000,Vector,7
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,2236295.331163,98555.907194,"ops/s",10,10000,Vector,8
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,3392305.774136,187852.927992,"ops/s",10,10000,Vector,9
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,216.461536,66.220229,"ops/s",10,10000,Vector,10
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,1801835.563125,172460.332254,"ops/s",10,10000,Vector,11
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,1790267.882574,80657.069185,"ops/s",10,10000,Vector,12
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,217.548806,79.861029,"ops/s",10,10000,Vector,13
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,175884.145642,6845.949289,"ops/s",10,10000,Vector,14
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,4955967.293756,245303.518151,"ops/s",10,10000,Vector,15
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,1762252.286137,110688.481749,"ops/s",10,10000,Vector,16
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,289.808371,24.359317,"ops/s",10,10000,Vector,17
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,406.916453,45.853487,"ops/s",10,10000,Vector,18
